gene,sample,genotype,cnt
Acat1,A,Wt,1154
Acat1,B,Wt,1197
Acat1,C,Wt,1039
Acat1,D,Hom,1766
Acat1,E,Hom,1812
Acat1,F,Hom,1760
Ackr2,A,Wt,348
Ackr2,B,Wt,454
Ackr2,C,Wt,513
Ackr2,D,Hom,657
Ackr2,E,Hom,708
Ackr2,F,Hom,643
Adcy8,A,Wt,435
Adcy8,B,Wt,504
Adcy8,C,Wt,523
Adcy8,D,Hom,668
Adcy8,E,Hom,867
Adcy8,F,Hom,792
Aebp2,A,Wt,864
Aebp2,B,Wt,832
Aebp2,C,Wt,846
Aebp2,D,Hom,1463
Aebp2,E,Hom,1520
Aebp2,F,Hom,1527
Aff2,A,Wt,20
Aff2,B,Wt,32
Aff2,C,Wt,19
Aff2,D,Hom,44
Aff2,E,Hom,75
Aff2,F,Hom,47
Agbl2,A,Wt,146
Agbl2,B,Wt,153
Agbl2,C,Wt,113
Agbl2,D,Hom,141
Agbl2,E,Hom,170
Agbl2,F,Hom,191
Arl4d,A,Wt,698
Arl4d,B,Wt,705
Arl4d,C,Wt,856
Arl4d,D,Hom,891
Arl4d,E,Hom,789
Arl4d,F,Hom,733
Arl5b,A,Wt,530
Arl5b,B,Wt,636
Arl5b,C,Wt,520
Arl5b,D,Hom,1001
Arl5b,E,Hom,1330
Arl5b,F,Hom,1116
Axl,A,Wt,1955
Axl,B,Wt,2351
Axl,C,Wt,1975
Axl,D,Hom,3539
Axl,E,Hom,3696
Axl,F,Hom,2949
Cd276,A,Wt,175
Cd276,B,Wt,196
Cd276,C,Wt,226
Cd276,D,Hom,336
Cd276,E,Hom,327
Cd276,F,Hom,376
Ces2e,A,Wt,50
Ces2e,B,Wt,60
Ces2e,C,Wt,82
Ces2e,D,Hom,95
Ces2e,E,Hom,123
Ces2e,F,Hom,99
Cfdp1,A,Wt,1104
Cfdp1,B,Wt,1104
Cfdp1,C,Wt,937
Cfdp1,D,Hom,1599
Cfdp1,E,Hom,1293
Cfdp1,F,Hom,1440
Ctps,A,Wt,440
Ctps,B,Wt,489
Ctps,C,Wt,391
Ctps,D,Hom,1013
Ctps,E,Hom,862
Ctps,F,Hom,725
Cxcl5,A,Wt,11
Cxcl5,B,Wt,3
Cxcl5,C,Wt,14
Cxcl5,D,Hom,8
Cxcl5,E,Hom,5
Cxcl5,F,Hom,18
Ect2l,A,Wt,67
Ect2l,B,Wt,59
Ect2l,C,Wt,53
Ect2l,D,Hom,50
Ect2l,E,Hom,60
Ect2l,F,Hom,82
Edem2,A,Wt,1036
Edem2,B,Wt,1229
Edem2,C,Wt,974
Edem2,D,Hom,1554
Edem2,E,Hom,1456
Edem2,F,Hom,1531
Eif3f,A,Wt,3181
