Gene	F_Hom	E_Hom	D_Hom	C_Wt	B_Wt	A_Wt
0610005C13Rik	1	0	0	0	0	5
0610007P14Rik	836	755	862	549	587	582
0610009B22Rik	200	233	197	119	95	132
0610009E02Rik	17	18	7	9	6	13
0610009L18Rik	58	41	39	32	25	36
0610009O20Rik	1233	1352	1295	792	855	761
0610010F05Rik	309	408	330	171	186	201
0610010K14Rik	6	7	3	11	1	2
0610011F06Rik	434	357	377	318	317	307
0610012D04Rik	0	4	3	2	0	4
0610012G03Rik	319	290	250	295	192	208
0610025J13Rik	4	2	1	2	2	0
0610030E20Rik	718	835	805	491	516	473
0610031O16Rik	0	1	0	1	0	0
0610037L13Rik	822	765	743	592	590	531
0610038B21Rik	16	14	12	12	4	7
0610039K10Rik	1	4	1	1	4	4
0610040B10Rik	10	6	10	11	7	16
0610040F04Rik	0	0	4	2	1	2
0610040J01Rik	519	424	444	274	402	375
0610043K17Rik	7	3	3	6	14	4
1010001B22Rik	10	14	3	9	13	9
1010001N08Rik	57	38	33	22	33	15
1110001J03Rik	168	146	164	136	115	135
1110002E22Rik	30	30	26	20	17	16
1110002J07Rik	2	4	8	3	2	0
1110002L01Rik	122	124	114	78	103	58
1110004E09Rik	769	612	591	519	562	579
1110004F10Rik	1549	1558	1671	1016	1084	1073
1110007C09Rik	653	603	731	528	492	469
1110008E08Rik	0	0	0	0	0	0
1110008F13Rik	2137	2193	2182	1219	1280	1356
1110008L16Rik	190	174	183	108	140	111
1110008P14Rik	523	443	583	404	491	445
1110012L19Rik	442	422	465	235	267	240
1110015O18Rik	0	0	0	0	0	0
1110017D15Rik	339	263	262	269	330	278
1110018N20Rik	24	14	20	19	7	11
1110019D14Rik	74	85	52	36	58	64
1110020A21Rik	15	14	6	12	8	2
1110025L11Rik	0	0	0	0	0	0
1110028F11Rik	12	8	12	5	8	7
1110028F18Rik	0	1	0	0	0	0
1110032A03Rik	632	504	464	331	452	457
1110032F04Rik	23	14	16	13	8	4
1110034G24Rik	267	288	317	206	172	214
1110035H17Rik	13	7	4	11	19	16
1110036E04Rik	0	0	0	0	0	0
1110037F02Rik	1253	1436	1347	794	856	736
1110038B12Rik	95	96	103	78	44	47
1110038F14Rik	600	543	700	508	546	618
1110046J04Rik	71	90	79	42	79	69
1110051M20Rik	708	687	714	452	555	562
1110054M08Rik	187	171	164	166	167	138
1110057K04Rik	701	815	723	452	488	426
1110057P08Rik	0	0	0	0	0	0
1110058L19Rik	290	264	291	177	183	190
1110059E24Rik	638	670	671	415	445	511
1110059G10Rik	371	352	414	253	255	263
1110065P20Rik	338	304	343	263	200	169
1190002F15Rik	41	64	80	23	10	16
1190002N15Rik	2855	2710	2434	1493	1772	1743
1190003K10Rik	1	0	0	0	0	0
1190005I06Rik	2	0	5	2	5	0
1190007I07Rik	70	64	63	45	51	59
1200007C13Rik	9	20	16	7	9	13
1200014J11Rik	632	718	767	411	423	387
1300002E11Rik	265	206	216	163	187	200
1300017J02Rik	8	7	5	5	6	3
1500002C15Rik	26	34	30	20	19	17
1500004A13Rik	12	13	20	10	26	10
1500009C09Rik	0	0	0	0	0	0
1500009L16Rik	69	66	46	37	27	37
1500011B03Rik	173	119	223	115	93	148
1500011K16Rik	544	427	483	359	368	505
1500012F01Rik	309	264	328	213	241	216
1500012K07Rik	0	1	2	0	1	0
1500015A07Rik	29	16	34	24	24	35
1500015L24Rik	0	2	0	1	2	0
1500015O10Rik	30	27	30	27	17	13
1500017E21Rik	14	6	10	7	6	6
1500026H17Rik	11	15	8	7	10	14
1500035N22Rik	15	4	7	8	4	5
1520401A03Rik	0	0	0	0	0	0
1600002D24Rik	1	0	0	1	2	1
1600002H07Rik	232	210	280	149	145	120
1600002K03Rik	154	125	168	98	111	116
1600010M07Rik	48	64	70	21	19	24
1600012H06Rik	1041	991	1019	526	611	547
1600012P17Rik	0	0	0	0	0	0
1600014C10Rik	688	780	784	400	466	368
1600014C23Rik	1	0	0	0	0	0
1600014K23Rik	0	0	0	0	0	0
1600015I10Rik	0	1	1	0	0	0
1600019K03Rik	0	0	0	0	0	0
1600020E01Rik	111	123	104	64	90	100
1600025M17Rik	0	0	0	0	0	0
1600029I14Rik	402	320	299	251	308	407
1600029O15Rik	2	1	2	1	0	1
1700001C02Rik	149	136	94	78	114	113
1700001C19Rik	5	4	4	4	2	2
1700001D01Rik	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0
1700001G11Rik	0	2	4	5	2	1
1700001J03Rik	3	2	1	3	1	3
1700001J04Rik	0	0	0	0	0	0
1700001J11Rik	14	7	7	2	6	3
